Date,Visitors (all pages),Views (all pages),Engaged Minutes (all pages),Posts,New Posts,Visitors (posts),Views (posts),Engaged Minutes (posts),Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Channel vis.,New vis.,Views new vis.,Avg. views new vis.,Minutes New Vis.,Avg. minutes new vis.,Returning vis.,Views ret. vis.,Avg. views ret. vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Website views,AMP views,Fb instant views
2018-09-01,807501,2768634,1618308,44565,9229,586166,1342492,1069608,54450,49935,4507,,8,607159.0,595530,139803,369312.0,531712.0,56069.0,158896.0,224897.0,163829.0,53345.0,3963.0,53.0,,452427,645179,1.259,510328,0.996,133739,697313,5.214,559279,4.182,1342492,,
2018-08-01,887245,2990845,1801387,42090,8735,645860,1480349,1221730,71385,66559,4819,,7,635714.0,691802,152833,381058.0,572245.0,43129.0,171293.0,309095.0,223364.0,79225.0,4127.0,52.0,,500965,684123,1.239,554667,1.005,144895,796226,5.495,667063,4.604,1480349,,
2018-07-01,879089,3060210,1899629,42181,9192,672490,1600264,1331647,99859,87764,12079,,16,659190.0,769792,171282,372443.0,610736.0,43406.0,180050.0,391442.0,299666.0,83262.0,5707.0,55.0,,516881,732362,1.239,608506,1.029,155609,867902,5.577,723141,4.647,1600264,,
